niveau,heuristique,time,cpu_time,recursivite,branche_close
vide,1,0.05388450622558594,0.046875,268.0,106.0
vide,2,0.02792501449584961,0.015625,48.0,8.0
vide,3,0.23234987258911133,0.234375,108.0,41.0
vide,4,0.05585050582885742,0.0625,259.0,106.0
vide,5,0.08080458641052246,0.078125,108.0,41.0
facile,1,0.024738454818725587,0.0234375,17.2,6.4
facile,2,0.026822876930236817,0.025,19.8,8.0
facile,3,0.051179027557373045,0.0484375,22.1,9.5
facile,4,0.021541833877563477,0.0234375,18.2,7.6
facile,5,0.038397359848022464,0.0390625,22.1,9.5
facile,6,0.022542500495910646,0.0203125,20.1,8.9
moyen,1,0.024845218658447264,0.021875,32.5,13.5
moyen,2,0.026836967468261717,0.0265625,32.1,13.9
moyen,3,0.09355919361114502,0.090625,57.8,27.3
moyen,4,0.02624504566192627,0.025,34.4,15.1
moyen,5,0.066237473487854,0.065625,57.8,27.3
moyen,6,0.025639986991882323,0.0234375,35.3,15.7
difficile,1,0.03720080852508545,0.034375,65.2,28.3
difficile,2,0.08208954334259033,0.0765625,124.4,58.9
difficile,3,0.5902177095413208,0.5828125,527.7,261.7
difficile,4,0.03910496234893799,0.0390625,70.3,32.4
difficile,5,0.3086804628372192,0.3015625,527.7,261.7
difficile,6,0.11738886833190917,0.115625,242.7,118.7
expert,1,0.041089987754821776,0.0421875,88.6,39.4
expert,2,0.18280704021453859,0.18125,364.7,179.4
expert,3,1.4734620332717896,1.4671875,1358.2,676.8
expert,4,0.04887433052062988,0.04375,96.5,44.7
expert,5,0.7183876276016236,0.7171875,1358.2,676.8
expert,6,0.23866288661956786,0.2390625,536.0,265.1
diabolique,1,0.029110050201416014,0.03125,56.9,24.4
diabolique,2,0.07310400009155274,0.0734375,113.0,53.5
diabolique,3,0.37657439708709717,0.3734375,310.0,152.7
diabolique,4,0.031229162216186525,0.0328125,59.8,26.5
diabolique,5,0.19896454811096193,0.196875,310.0,152.7
diabolique,6,0.06023340225219727,0.059375,108.7,51.8
